Time,BUS10Va,BUS10Vb,BUS10Vc,L4Ia_FLT,L4Ib_FLT,L4Ic_FLT
0.004189545,11414.64844,-16191.27344,-5069.294922,0.012369675,-0.016178839,-0.005228474
0.004239545,11554.93164,-15989.88477,-5358.459961,0.012507878,-0.015964421,-0.005520605
0.004289545,11692.48145,-15782.8291,-5646.439941,0.012644519,-0.015743773,-0.005810004
0.004339545,11827.3418,-15569.93457,-5933.218262,0.012779329,-0.015517259,-0.006096791
0.004389545,11959.52441,-15351.12109,-6218.768555,0.012911933,-0.015285351,-0.006381178
0.004439545,12089.00879,-15126.39746,-6503.049316,0.013041871,-0.015048606,-0.006663443
0.004489545,12215.74902,-14895.86328,-6785.995606,0.013168643,-0.014807618,-0.006943897
0.004539545,12339.67676,-14659.69727,-7067.51416,0.013291756,-0.014562972,-0.007222853
0.004589545,12460.7168,-14418.14063,-7347.477051,0.013410757,-0.014315193,-0.007500587
0.004639545,12578.79004,-14171.48633,-7625.719238,0.013525282,-0.014064707,-0.007777308
0.004689545,12693.83106,-13920.05176,-7902.041504,0.013635081,-0.01381181,-0.008053135
0.004739545,12805.78809,-13664.16895,-8176.212402,0.013740038,-0.013556647,-0.008328076
0.004789545,12914.63379,-13404.16406,-8447.980469,0.013840185,-0.01329921,-0.008602025
0.004839545,13020.36328,-13140.34863,-8717.081055,0.013935684,-0.013039348,-0.008874763
0.004889545,13122.99512,-12873.00293,-8983.254883,0.014026823,-0.012776794,-0.00914597
0.004939545,13222.56445,-12602.37988,-9246.262695,0.014113977,-0.012511203,-0.009415255
0.004989545,13319.11719,-12328.69336,-9505.895508,0.014197574,-0.012242193,-0.009682178
0.005039545,13412.70313,-12052.12598,-9761.993164,0.014278054,-0.011969402,-0.009946284
0.005089545,13503.36523,-11772.82617,-10014.44727,0.014355824,-0.011692527,-0.010207145
0.005139545,13591.13086,-11490.91797,-10263.21191,0.01443122,-0.011411374,-0.010464386
0.005189545,13676.00977,-11206.50586,-10508.29883,0.01450447,-0.011125886,-0.010717717
0.005239545,13757.9834,-10919.67969,-10749.77539,0.014575676,-0.010836161,-0.010966948
0.005289545,13837.00488,-10630.52539,-10987.75684,0.014644801,-0.010542454,-0.011212007
0.005339545,13912.99902,-10339.12598,-11222.39356,0.014711669,-0.01024517,-0.01145293
0.005389545,13985.86133,-10045.57324,-11453.85742,0.014775985,-0.009944828,-0.011689858
0.005439545,14055.46387,-9749.967773,-11682.32715,0.014837359,-0.009642029,-0.01192301
0.005489545,14121.66016,-9452.419922,-11907.97363,0.014895343,-0.009337404,-0.012152663
0.005539545,14184.2959,-9153.051758,-12130.94434,0.014949473,-0.009031561,-0.012379112
0.005589545,14243.21484,-8851.995117,-12351.35059,0.014999307,-0.008725042,-0.012602637
0.005639545,14298.27246,-8549.383789,-12569.26074,0.01504447,-0.008418269,-0.012823477
0.005689545,14349.3418,-8245.351563,-12784.69043,0.015084692,-0.008111511,-0.013041797
